"id";"Month";"Date";"Hour";"X2011_UV";"X2012_UV";"X2013_UV";"X2014_UV";"X2015_UV";"X2016_UV";"X2017_UV";"X2018_UV";"X2019_UV";"X2020_UV"
1;1;1;0;0;0,02;0,04;0,03;0,02;0;0;0,01;0,01;0,01
2;1;1;1;0;0,02;0,04;0,03;0,02;0;0;0,01;0,01;0,01
3;1;1;2;0;0,02;0,04;0,03;0,02;0;0;0,01;0,01;0,01
4;1;1;3;0;0,02;0,04;0,03;0,02;0;0;0,01;0,01;0,01
5;1;1;4;0;0,02;0,03;0,03;0,02;0;0;0,01;0,01;0,01
6;1;1;5;0,02;0,07;0,08;0,06;0,06;0,05;0,03;0,05;0,1;0,11
7;1;1;6;0,26;0,42;0,44;0,14;0,4;0,37;0,24;0,34;0,44;0,62
8;1;1;7;0,62;1,41;1,47;0,45;1,43;1,2;1,44;1,08;1,4;1,86
9;1;1;8;1,39;3,24;3,5;1,18;3,12;2,66;3,41;3,38;3,51;3,77
10;1;1;9;3,29;5,57;6,15;1,84;4,65;4,95;2;6,1;5,96;6,52
11;1;1;10;5,37;7,77;8,45;4,32;6,48;6,78;5,82;8,42;8,35;9,47
12;1;1;11;8,04;9,35;10,18;2,4;4,58;6,62;2,33;10,12;10,13;11,44
13;1;1;12;5,01;9,68;10,54;1,48;10,33;7,1;2,15;10,53;10,74;12,06
14;1;1;13;6,67;7,78;9,52;1,38;9,47;6,08;3,11;9,68;9,99;11,11
15;1;1;14;4,03;6,35;7,61;0,92;6,63;5,32;2,07;7,87;8,15;8,98
16;1;1;15;2,67;4,74;5,4;0,89;3,45;3,42;1,43;5,46;5,71;6,23
17;1;1;16;1,43;2,6;2,95;0,28;2,81;1,8;1,34;3,17;3,27;3,56
18;1;1;17;0,88;1,04;1,25;0,15;1,2;0,66;0,64;1,43;1,46;1,63
19;1;1;18;0,24;0,27;0,33;0,09;0,29;0,19;0,07;0,44;0,45;0,51
20;1;1;19;0,01;0,04;0,06;0,03;0,04;0,02;0,02;0,06;0,06;0,07
21;1;1;20;0;0,01;0,03;0,03;0,01;0;0;0,01;0,01;0,01
22;1;1;21;0;0,02;0,03;0,03;0,01;0;0;0,01;0,01;0,01
23;1;1;22;0;0,02;0,03;0,03;0,01;0;0;0,01;0,01;0,01
24;1;1;23;0;0,02;0,03;0,03;0,01;0;0,01;0,01;0,01;0,01
25;1;2;0;0;0,02;0,03;0,03;0,01;0;0,01;0,01;0,01;0,01
26;1;2;1;0;0,02;0,03;0,03;0,01;0;0,01;0,01;0,01;0,01
27;1;2;2;0;0,02;0,03;0,03;0,01;0;0,01;0,01;0,01;0,01
28;1;2;3;0;0,02;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01
29;1;2;4;0;0,02;0,04;0,04;0,01;0,01;0,01;0,01;0,01;0,01
30;1;2;5;0,05;0,07;0,09;0,1;0,04;0,03;0,02;0,07;0,04;0,11
31;1;2;6;0,54;0,43;0,3;0,5;0,3;0,27;0,2;0,48;0,24;0,63
32;1;2;7;1,81;1,47;1,33;1,39;1,43;0,87;0,36;1,6;0,98;1,92
33;1;2;8;2,36;3,29;3,43;3,93;3,56;2,45;0,86;2,85;2,08;4,05
34;1;2;9;4,74;5,74;6,53;6,76;5,03;4,18;3,14;4,44;3,64;6,83
35;1;2;10;8,47;8,13;9,18;8,72;8,9;6,81;5,68;6,63;6,28;9,57
36;1;2;11;10,72;9,71;10,32;10,98;10,1;10,34;4,79;8,41;10;11,47
37;1;2;12;10,84;9,2;11,34;12,27;11,2;10,42;4,22;8,61;10,66;12
38;1;2;13;9,89;7,93;10,62;11,12;7,44;9,42;4,34;8,02;9,95;10,68
39;1;2;14;7,93;7,06;8,61;9,23;5,35;7,78;2,31;6,19;7,95;7,63
40;1;2;15;5,58;5,13;5,9;4,93;4,86;5,5;1,94;4,57;5,62;5,33
41;1;2;16;3,23;2,79;3,2;2,19;2,75;2,96;1,03;3,06;3,25;3,3
42;1;2;17;1,29;1,12;1,27;0,83;1,09;1,19;0,39;1,36;1,48;1,44
43;1;2;18;0,32;0,27;0,34;0,23;0,25;0,31;0,13;0,4;0,46;0,42
44;1;2;19;0,03;0,03;0,06;0,06;0,02;0,04;0,02;0,05;0,06;0,07
45;1;2;20;0;0,01;0,03;0,03;0;0;0;0,01;0,01;0,01
46;1;2;21;0;0,01;0,03;0,03;0;0,01;0;0,01;0,01;0,01
47;1;2;22;0;0,01;0,03;0,03;0;0,01;0;0,01;0,01;0,01
48;1;2;23;0;0,01;0,04;0,03;0;0;0;0,01;0,01;0,01
49;1;3;0;0;0,01;0,03;0,04;0;0,01;0;0,01;0,01;0,01
50;1;3;1;0;0,02;0,03;0,04;0;0,01;0;0,01;0,01;0,01
51;1;3;2;0;0,02;0,03;0,04;0;0,01;0;0,01;0,01;0,01
52;1;3;3;0;0,02;0,03;0,04;0;0,01;0;0,01;0,01;0,01
53;1;3;4;0;0,02;0,03;0,04;0;0,01;0,01;0,01;0,01;0,01
